note	src	dst
Effect Callback Mesh	assets/shaders/effect_callback_additive.gdshader	addons/exmateria_effects/callbacks/effect_callback_additive.gdshader
Effect Callback Mesh	assets/shaders/trap_charge_line.gdshader	addons/exmateria_effects/trap/trap_charge_line.gdshader
Effect Callback Mesh	src/effects/TrapChargeLineEffect.gd	addons/exmateria_effects/trap/TrapChargeLineEffect.gd
Effect Callback Mesh	src/effects/callbacks/EffectCallback.gd	addons/exmateria_effects/callbacks/EffectCallback.gd
Effect Callback Mesh	src/effects/callbacks/RadialRingCallback.gd	addons/exmateria_effects/callbacks/RadialRingCallback.gd
Effect Callback Mesh	src/effects/callbacks/RotatingTubeCallback.gd	addons/exmateria_effects/callbacks/RotatingTubeCallback.gd
Effect Callback Mesh	src/effects/callbacks/ScreenGridCallback.gd	addons/exmateria_effects/callbacks/ScreenGridCallback.gd
Effect Callback Mesh	src/effects/callbacks/SpiralMeshCallback.gd	addons/exmateria_effects/callbacks/SpiralMeshCallback.gd
Effect Callback Mesh	src/effects/callbacks/TubeMeshCallback.gd	addons/exmateria_effects/callbacks/TubeMeshCallback.gd
Effect Callback Mesh	src/effects/callbacks/WarpedGridCallback.gd	addons/exmateria_effects/callbacks/WarpedGridCallback.gd
Effect Callback Mesh	src/effects/callbacks/WorldTubeCallback.gd	addons/exmateria_effects/callbacks/WorldTubeCallback.gd
Effect Camera System	src/effects/CameraSubsystem.gd	addons/exmateria_effects/subsystem/CameraSubsystem.gd
Effect Camera System	src/effects/EffectInstance.gd	addons/exmateria_effects/cast/EffectInstance.gd
Effect Camera System	src/effects/PhaseBlock.gd	addons/exmateria_effects/subsystem/PhaseBlock.gd
Effect Execution Model	src/effects/ActiveEmitter.gd	addons/exmateria_effects/particles/ActiveEmitter.gd
Effect Execution Model	src/effects/CameraSubsystem.gd	addons/exmateria_effects/subsystem/CameraSubsystem.gd
Effect Execution Model	src/effects/EffectInstance.gd	addons/exmateria_effects/cast/EffectInstance.gd
Effect Execution Model	src/effects/EffectPhase.gd	addons/exmateria_effects/cast/EffectPhase.gd
Effect Execution Model	src/effects/ParticleSubsystem.gd	addons/exmateria_effects/subsystem/ParticleSubsystem.gd
Effect Execution Model	src/effects/PhaseBlock.gd	addons/exmateria_effects/subsystem/PhaseBlock.gd
Effect Execution Model	src/effects/TimelineData.gd	addons/exmateria_effects/file_model/TimelineData.gd
Effect Execution Model	src/effects/callbacks/CallbackManager.gd	addons/exmateria_effects/callbacks/CallbackManager.gd
Effect Execution Model	src/effects/callbacks/EffectCallback.gd	addons/exmateria_effects/callbacks/EffectCallback.gd
Effect File Format	src/effects/EffectData.gd	addons/exmateria_effects/file_model/EffectData.gd
Effect File Format	src/effects/ParticlePhysics.gd	addons/exmateria_effects/particles/ParticlePhysics.gd
Effect Frame Pacing	src/effects/ActiveEmitter.gd	addons/exmateria_effects/particles/ActiveEmitter.gd
Effect Frame Pacing	src/effects/EffectData.gd	addons/exmateria_effects/file_model/EffectData.gd
Effect Frame Pacing	src/effects/EffectInstance.gd	addons/exmateria_effects/cast/EffectInstance.gd
Effect Frame Pacing	src/effects/EffectTimeline.gd	addons/exmateria_effects/cast/EffectTimeline.gd
Effect Frame Pacing	src/effects/ParticleAnimator.gd	addons/exmateria_effects/particles/ParticleAnimator.gd
Effect Frame Pacing	src/effects/ParticleSubsystem.gd	addons/exmateria_effects/subsystem/ParticleSubsystem.gd
Effect MultiMesh Pool	assets/shaders/effect_particle_opaque.gdshader	addons/exmateria_effects/render/effect_particle_opaque.gdshader
Effect MultiMesh Pool	assets/shaders/effect_particle_stp.gdshaderinc	addons/exmateria_effects/render/effect_particle_stp.gdshaderinc
Effect MultiMesh Pool	src/effects/EffectMultiMeshPool.gd	addons/exmateria_effects/render/EffectMultiMeshPool.gd
Effect MultiMesh Pool	src/effects/EffectParticleRenderer.gd	addons/exmateria_effects/render/EffectParticleRenderer.gd
Effect Sound Timing	src/effects/SoundSubsystem.gd	addons/exmateria_effects/subsystem/SoundSubsystem.gd
Effect Texture Upload	src/effects/EffectData.gd	addons/exmateria_effects/file_model/EffectData.gd
Effect Texture Upload	src/effects/EffectParticleRenderer.gd	addons/exmateria_effects/render/EffectParticleRenderer.gd
Elemental Puff Particle System	src/effects/EffectManager.gd	addons/exmateria_effects/cast/EffectManager.gd
Elemental Puff Particle System	src/effects/TrapEffect.gd	addons/exmateria_effects/trap/TrapEffect.gd
Embedded MIPS Effect Code	src/effects/CinematicFacingResolver.gd	addons/exmateria_effects/camera/CinematicFacingResolver.gd
Embedded MIPS Effect Code	src/effects/EffectData.gd	addons/exmateria_effects/file_model/EffectData.gd
Embedded MIPS Effect Code	src/effects/EffectInstance.gd	addons/exmateria_effects/cast/EffectInstance.gd
Embedded MIPS Effect Code	src/effects/PSXCameraConvert.gd	addons/exmateria_platform/fixed_point/PsxChirality.gd
Embedded MIPS Effect Code	src/effects/TrapChargeLineEffect.gd	addons/exmateria_effects/trap/TrapChargeLineEffect.gd
Embedded MIPS Effect Code	src/effects/TrapConstants.gd	addons/exmateria_effects/trap/TrapConstants.gd
Embedded MIPS Effect Code	src/effects/TrapEffect.gd	addons/exmateria_effects/trap/TrapEffect.gd
Embedded MIPS Effect Code	src/effects/callbacks/CallbackManager.gd	addons/exmateria_effects/callbacks/CallbackManager.gd
Embedded MIPS Effect Code	src/effects/callbacks/CallbackRegistry.gd	addons/exmateria_effects/callbacks/CallbackRegistry.gd
Embedded MIPS Effect Code	src/effects/callbacks/EffectCallback.gd	addons/exmateria_effects/callbacks/EffectCallback.gd
Embedded MIPS Effect Code	src/effects/callbacks/RadialRingCallback.gd	addons/exmateria_effects/callbacks/RadialRingCallback.gd
Embedded MIPS Effect Code	src/effects/callbacks/RotatingTubeCallback.gd	addons/exmateria_effects/callbacks/RotatingTubeCallback.gd
Embedded MIPS Effect Code	src/effects/callbacks/TrailProjectileCallback.gd	addons/exmateria_effects/callbacks/TrailProjectileCallback.gd
Embedded MIPS Effect Code	src/effects/callbacks/WarpedGridCallback.gd	addons/exmateria_effects/callbacks/WarpedGridCallback.gd
Emitter Anchor Modes	src/effects/ActiveEmitter.gd	addons/exmateria_effects/particles/ActiveEmitter.gd
Emitter Anchor Modes	src/effects/EffectEmitter.gd	addons/exmateria_effects/file_model/EffectEmitter.gd
Emitter Anchor Modes	src/effects/EffectManager.gd	addons/exmateria_effects/cast/EffectManager.gd
Emitter Anchor Modes	src/effects/ParticleSubsystem.gd	addons/exmateria_effects/subsystem/ParticleSubsystem.gd
Footstep Dust Particle System	src/effects/TrapEffect.gd	addons/exmateria_effects/trap/TrapEffect.gd
Footstep Hard Surface Particle System	src/effects/TrapEffect.gd	addons/exmateria_effects/trap/TrapEffect.gd
Frameset Header Flags	src/effects/ActiveEmitter.gd	addons/exmateria_effects/particles/ActiveEmitter.gd
Frameset Header Flags	src/effects/EffectParticleRenderer.gd	addons/exmateria_effects/render/EffectParticleRenderer.gd
Hit Reaction Particle Burst	src/effects/EffectManager.gd	addons/exmateria_effects/cast/EffectManager.gd
Hit Reaction Particle Burst	src/effects/TrapEffect.gd	addons/exmateria_effects/trap/TrapEffect.gd
Homing System	src/effects/ActiveEmitter.gd	addons/exmateria_effects/particles/ActiveEmitter.gd
Homing System	src/effects/ParticlePhysics.gd	addons/exmateria_effects/particles/ParticlePhysics.gd
Isometric Coordinate System	src/effects/PsxUnits.gd	addons/exmateria_platform/fixed_point/PsxMagnitude.gd
Knight Break Impact Particle System	src/effects/EffectManager.gd	addons/exmateria_effects/cast/EffectManager.gd
Knight Break Impact Particle System	src/effects/TrapEffect.gd	addons/exmateria_effects/trap/TrapEffect.gd
Map Tint	src/effects/PaletteSubsystem.gd	addons/exmateria_effects/subsystem/PaletteSubsystem.gd
Map Tint	src/effects/UnitTintOverlay.gd	addons/exmateria_effects/overlay/TintedSurfaces.gd
PSX GPU Primitives	src/effects/callbacks/EffectCallback.gd	addons/exmateria_effects/callbacks/EffectCallback.gd
PSX GPU Primitives	src/effects/callbacks/SpiralMeshCallback.gd	addons/exmateria_effects/callbacks/SpiralMeshCallback.gd
PSX Texture Page Register	src/effects/EffectParticleRenderer.gd	addons/exmateria_effects/render/EffectParticleRenderer.gd
Particle Coloring System	src/effects/EffectParticleRenderer.gd	addons/exmateria_effects/render/EffectParticleRenderer.gd
Particle Curve Indices	src/effects/ActiveEmitter.gd	addons/exmateria_effects/particles/ActiveEmitter.gd
Particle Curve Indices	src/effects/EffectCurve.gd	addons/exmateria_effects/file_model/EffectCurve.gd
Particle Curve Indices	src/effects/ParticlePhysics.gd	addons/exmateria_effects/particles/ParticlePhysics.gd
Particle Depth Mode	src/effects/ParticleAnimator.gd	addons/exmateria_effects/particles/ParticleAnimator.gd
Particle Emitter Format	src/effects/ActiveEmitter.gd	addons/exmateria_effects/particles/ActiveEmitter.gd
Particle Emitter Format	src/effects/EffectEmitter.gd	addons/exmateria_effects/file_model/EffectEmitter.gd
Particle Emitter Format	src/effects/callbacks/SpiralMeshCallback.gd	addons/exmateria_effects/callbacks/SpiralMeshCallback.gd
Particle Runtime State	src/effects/ActiveEmitter.gd	addons/exmateria_effects/particles/ActiveEmitter.gd
Particle Runtime State	src/effects/Particle.gd	addons/exmateria_effects/particles/Particle.gd
Scenario Camera Framing	src/effects/PSXCameraConvert.gd	addons/exmateria_platform/fixed_point/PsxChirality.gd
Screen Effect Gradient System	src/effects/ScreenEffectOverlay.gd	addons/exmateria_effects/overlay/ScreenEffectOverlay.gd
Screen Effect Gradient System	src/effects/ScreenSubsystem.gd	addons/exmateria_effects/subsystem/ScreenSubsystem.gd
Spell Charge Effect System	src/effects/EffectManager.gd	addons/exmateria_effects/cast/EffectManager.gd
Spell Charge Effect System	src/effects/TrapEffect.gd	addons/exmateria_effects/trap/TrapEffect.gd
Spell Charge Lines System	src/effects/EffectManager.gd	addons/exmateria_effects/cast/EffectManager.gd
Spell Charge Lines System	src/effects/TrapChargeLineEffect.gd	addons/exmateria_effects/trap/TrapChargeLineEffect.gd
Sprite Offset vs Vertex Position	src/effects/ActiveEmitter.gd	addons/exmateria_effects/particles/ActiveEmitter.gd
Sprite Offset vs Vertex Position	src/effects/EffectParticleRenderer.gd	addons/exmateria_effects/render/EffectParticleRenderer.gd
Sprite Offset vs Vertex Position	src/effects/ParticleAnimator.gd	addons/exmateria_effects/particles/ParticleAnimator.gd
Sprite Offset vs Vertex Position	src/effects/ParticlePhysics.gd	addons/exmateria_effects/particles/ParticlePhysics.gd
Summon Charge Lines System	src/effects/EffectManager.gd	addons/exmateria_effects/cast/EffectManager.gd
Summon Charge Lines System	src/effects/TrapChargeLineEffect.gd	addons/exmateria_effects/trap/TrapChargeLineEffect.gd
Summon Orb Orbital System	src/effects/EffectManager.gd	addons/exmateria_effects/cast/EffectManager.gd
Summon Orb Orbital System	src/effects/TrapConstants.gd	addons/exmateria_effects/trap/TrapConstants.gd
Summon Orb Orbital System	src/effects/TrapEffect.gd	addons/exmateria_effects/trap/TrapEffect.gd
Summon Orb Orbital System	src/effects/TrapOrbitalEffect.gd	addons/exmateria_effects/trap/TrapOrbitalEffect.gd
TRAP Charge Particle System	src/effects/EffectManager.gd	addons/exmateria_effects/cast/EffectManager.gd
TRAP Charge Particle System	src/effects/TrapEffect.gd	addons/exmateria_effects/trap/TrapEffect.gd
TRAP Hit Effect Particle System	src/effects/EffectManager.gd	addons/exmateria_effects/cast/EffectManager.gd
TRAP Hit Effect Particle System	src/effects/TrapEffect.gd	addons/exmateria_effects/trap/TrapEffect.gd
TRAP Hit Effect Particle System	src/effects/TrapPaletteController.gd	addons/exmateria_effects/trap/TrapPaletteController.gd
TRAP Sprite Effect System	src/effects/EffectManager.gd	addons/exmateria_effects/cast/EffectManager.gd
TRAP Sprite Effect System	src/effects/TrapEffect.gd	addons/exmateria_effects/trap/TrapEffect.gd
Transformed Pose System	src/effects/EffectInstance.gd	addons/exmateria_effects/cast/EffectInstance.gd
Transformed Pose System	src/effects/EffectManager.gd	addons/exmateria_effects/cast/EffectManager.gd
Unit Sprite Height Table	src/effects/TrapChargeLineEffect.gd	addons/exmateria_effects/trap/TrapChargeLineEffect.gd
Unit Sprite Height Table	src/effects/TrapEffect.gd	addons/exmateria_effects/trap/TrapEffect.gd
Unit Sprite Render Pipeline	src/effects/TrapConstants.gd	addons/exmateria_effects/trap/TrapConstants.gd
Unit Sprite Render Pipeline	src/effects/callbacks/EffectCallback.gd	addons/exmateria_effects/callbacks/EffectCallback.gd
Unit White Flash Reaction Handler	src/effects/TrapPaletteController.gd	addons/exmateria_effects/trap/TrapPaletteController.gd
