extraction	system	goal	scope	state	evidence
3	Battlefield	5	per-system	met	0 cross-system reach lines leave the addon (check_addon_portability.py). 🔴 Read with ADR-0202: at ebff57409 that guard measured TYPE reaches only and was green through eleven res:// code sites. CORRECTED at ADR-0215 dec. 9 — #658 built arm 6 (RES:// PATH, ENFORCING, referrers .gd/.tscn/.tres/.cfg, check_addon_portability.py:517-592) and all eleven Battlefield rows are now 0; the guard is no longer blind on the path axis. The install register tools/check_addon_install.py remains the compensating reading and all four of its arms are 0
3	Battlefield	6	per-domain	open	ADR-0142 — an asset belongs to the system that owns its format, and unlike `Render` this system OWNS ROM-derived ones: the GNS-linked mesh (addons/exmateria_battlefield/doodad/DoodadLibrary.gd loads geometry_linked.json), the GNS map-state/weather enum (addons/exmateria_battlefield/assembly/MapStateSelector.gd) and the indexed CLUT palettes (addons/exmateria_battlefield/texturing/PaletteTextureGenerator.gd). So the per-domain escape is closed the way it was for `Audio` and n/a is not available. The assets are a ROM transcription today: no authoring verb creates a map, and ADR-0203 dec. 1 has the host INJECT the content rather than the addon own it, which settles installability and does not touch this
3	Battlefield	7	per-system	open	112 jargon lines across 21 files. ADR-0150 — `Battlefield` is NOT in PLATFORM_EXEMPT and should not be: `Render`'s exemption is that the PSX look IS its subject (ADR-0117 row 10 + dec. 6), whereas this system's subject is an FFT battlefield, which is CONTENT, and content is never exempt (ADR-0117 dec. 12). The count is a work list, not a verdict, and 91 of the 112 are platform lines whose disposition is rename-vs-membership per row
3	Battlefield	8	per-system + E1	open	ADR-0152 — REGISTER HALF BLOCKED on the epilogue E1 known-drops register, the same blocker that holds `Render` and `Audio`, so #8 is blocked on the epilogue rather than on `Battlefield`. CODE HALF NOT MET EITHER, and it is worth stating rather than deferring: this system's one PSX-compromise knob, `visible_angles_cull_mode`, went the OTHER way at ADR-0190 dec. 1 — it stopped being a global uniform and became a `const int` in addons/exmateria_battlefield/terrain/fft_visible_angles.gdshaderinc, which is a constant the shader owns, i.e. exactly the shape ADR-0152 argues a PSX compromise should NOT take. That was the right call for its own question (a name with no writer does not earn a host entry, ADR-0190) and it leaves #8's code half unbought
3	Battlefield	9	per-system	met	ADR-0164 makes the lattice ONE port and one publish and keeps Tile from crossing; ADR-0166 dissolves the Unit/Tile circular dependency by returning Vector2i and deletes >=4 mock classes rather than porting them, the first place this extraction made the test seam cheaper; ADR-0206 ships the cursor as a rig and takes two implementation names off the global surface; ADR-0212 reduces the addon's global class_name surface to ONE folder-named facade; ADR-0180 retires the rosters so the arena boots a real battle; ADR-0202 + ADR-0203 + ADR-0204 build an install register the portability guard was structurally blind to, and ADR-0204 corrects ADR-0202 dec. 6's scale before implementing it
3	Battlefield	10	per-domain	n/a	ADR-0143 — the root set is docs/ROOT_SET.tsv's thirteen scenes and this addon ships none of them; its two scenes (camera/PlayerCamera.tscn, cursor/TileCursor.tscn) are components the host mounts, and after ADR-0204 the host instances its own UI into a mount point rather than the addon naming it. The addon has no authoring surface
4	Sprite Rig	1	per-system	met	ADR-0154 dec. 3 — goal #1 is bought at the DECISION level, and ADR-0110 dec. 1 lifts rather than rewrites. Extraction #4 argued its seam rather than inheriting it: ADR-0213 selects the system and rejects `Character Catalogue` and `Campaign` on their own numbers; ADR-0214 finds pass 1's numbers were taken through a keyhole and re-anchors the scope before any code moves; ADR-0215 splits the seam into a scene, a vocabulary and a content port, and finds two thirds of the interface belongs to two adapters; ADR-0217 finds the kernel publishes NO names at all, so the vocabulary move is 61 alias declarations and the rig needs a facade first; ADR-0220 rules that the addon declaring a `global uniform` provides its [shader_globals] entry; ADR-0222 splits criterion 4 into a scored production channel and a reported oracle; ADR-0223 finds a reach has a BUCKET and an ADDRESS and that goal #5 only ever read the bucket; ADR-0227 finds a facade re-export is not a use and `closure.py` could not tell. The `analog, authored fresh` rule cited against a lift still has no source in ADR-0112
4	Sprite Rig	2	per-system	met	CONTEXT.md carries translation table (`Sprite Rig`) — docs/context/18-sprite-layers.md, 17 rows, ADR-0217 dec. 7. Every row was re-measured against the shipped addon at pass 9 rather than restating pass 4's plan: the four alias-bound enum renames read 0 occurrences of the old spelling, and the generated activity row records that the kernel spelling has 4 readers against the legacy spelling's 67
4	Sprite Rig	3	per-system	met	no unclaimed file under addons/exmateria_sprite_rig; 1 declined (deliberately kept pending its scene's deletion): ResourceHotReload.gd. ADR-0217 dec. 17 moves it IN and files the deletion question with its scene, assets/scenes/UnitAnimationViewerScene.tscn, declined at ADR-0135 dec. 6. 🔴 Scored on a register that LOOKED: ADR-0227 dec. 5 returns this file to docs/RESIDUE.tsv after the closure fix — before it, closure.py read ADR-0211 dec. 2's facade publication table as real edges, so every published member was reachable by publication rather than by use and no addon file could appear. Extraction #3's own goal #3 flipped met -> open on the same fix (ADR-0227 dec. 6), which is why this row states the instrument rather than the count
4	Sprite Rig	4	per-system	met	in classify_blueprint.WALK_ROOTS — this system extracted INSIDE the walk, so all 56 tools/check_*.py still look at it; the contrast is `Audio`, which is declared in _walk_roots.EXTRACTED and whose guards are green because they no longer look (ADR-0148, ADR-0153 dec. 1). docs/BASELINE.tsv stays frozen at de055dc49 and tools/check_baseline.py --delta is pass 9's baseline->HEAD reading
4	Sprite Rig	5	per-system	met	MET, BOTH HALVES. ADR-0232 — goal #5 is a CONJUNCTION: a BUDGET half (does this addon name another system) and an INSTALL half (does it come up in a project that did nothing for it), and the row is `met` only when both are. BUDGET HALF: ADR-0223 — a reach has a BUCKET and an ADDRESS, and all four deliberately-disagreeing instruments read 0 for this addon: check_addon_portability.py arm 1 (bucket) 0, arm 6 (res:// path) 0, arm 7 (host class_name) 0, and check_lattice_scene.py criterion 4's PRODUCTION channel 0 beside one DECLARED MOUNT, assets/scenes/Unit.tscn (ADR-0217 dec. 3, ADR-0222 dec. 1). Arm 7 was the last one open: #809 built ADR-0223 dec. 8/9 and emptied ARM7_BURN_DOWN from 5 rows / 6 lines to zero by moving JsonAsset to addons/exmateria_platform/json/ and AnimationNames into the rig, each published as a facade constant with one alias line per namer. Against the frozen baseline the bucket's outbound reaches read 29 -> 0 and its inbound 118 -> 33. INSTALL HALF: tests/stranger/exmateria_sprite_rig/known_failures.tsv is EMPTY and the rig reports `known failures declared: 0`, 73/73, `stands up in a project that did nothing for it` with no exception clause — both rows paid on 2026-09-05, #847 by routing SpriteLayerManager.gd through ExMateriaPlatform.TunePort and #848 by routing CameraRelativeRenderer.gd through ExMateriaPlatform.DisplayPort (ADR-0234). The four cascade files came back with the LAST row, not proportionally: 72 -> 73 on one row's departure, which is the other direction of known_failures.tsv's own observation that paying one of two rows moved nothing. 🔴 #848's LOAD-BEARING CLAIM WAS FALSE and the row is worth reading for it. The issue said *no such port for PSXDisplay exists today* and offered building one as option (a); addons/exmateria_platform/display_port/DisplayPort.gd had shipped since #590 and IS option (a). What had not shipped was its READ half — #590 moved set_camera_angle onto the port and left the mirror it writes reachable only as a PROPERTY on the autoload, which serves the host and cannot serve an addon. So the fix was one verb on an existing port, and a port half is not shipped until both directions of the value are on it. Option (b), get_node_or_null(^"PSXDisplay") at the call site, was never open here: arm 2b's free set is the kernel, the platform PORT and an addon reaching its OWN singleton, and a SYSTEM naming a script another addon ships is none of the three. 🔴 AND #848 WAS NOT ORDERED BEHIND #583, which ADR-0232's ticket line and the handoff both asserted: DisplayPort absorbs the autoload's spelling at its own node path INSIDE exmateria_platform, so the rename reaches nothing in any addon and paying #848 first DELETED this row rather than moving its signature text. 🔴 THIS ROW READ `met` UNTIL ADR-0232 on the budget half alone, while the rig printed goal #5 UNMET on the same tree — both green, no join, and ADR-0228's ratchet asserted `Sprite Rig 6 met, 4 open` throughout. It reads `met` again now, and the difference is that ADR-0232's join is what says so.
4	Sprite Rig	6	per-domain	open	ADR-0142 — an asset belongs to the system that owns its format, and unlike `Render` this system OWNS ROM-derived ones: the SPR/SHP/SEQ sprite-template triple, the BATTLE.BIN layer-priority table at 0x80094548 (assets/sprites/layer_priority.json), and EVTCHR.BIN's 137 cinematic segments. So the per-domain escape is closed the way it was for `Audio` and `Battlefield` and n/a is not available. The assets are a ROM transcription today: no authoring verb creates a sprite template, and ADR-0215 dec. 6/7 has the HOST inject the content through SpriteRigContentRoot's eleven subpaths under one root rather than the addon owning it, which settles installability and does not touch this
4	Sprite Rig	7	per-system	met	0 jargon lines, from 22 — `met`. The 22 were 20 uses of a `psx_*` name PUBLISHED BY ANOTHER PACKAGE (6 #includes plus psx_ot_depth, psx_par_anchor, psx_unit_stretch, psx_color_apply and the psx_ot_computed_depth varying, all declared in addons/exmateria_schema or addons/exmateria_platform) plus 2 rig-owned PSX_FOLD_GAIN lines in crystal/crystal_fold.gdshader. ALL THREE WERE CONJUNCTIVE and score_goals has no partial credit: this row could not reach `met` until the provider retirement ran. It ran (ADR-0240): ADR-0129 dec. 10 -- *"The generic includes drop their `psx_` prefix, and gain no replacement"*, *"Only `par` wants a longer name (`pixel_aspect`)"* -- had never been executed because dec. 10 addressed `res://addons/render/shaders/ot_depth.gdshaderinc` while the files landed in addons/exmateria_schema/compositing_key/ and addons/exmateria_platform/. psx_ot_* -> ot_*, psx_color_* -> color_*, psx_quantize -> quantize, psx_par -> pixel_aspect (+_full/_anchor, the `psx-par-exempt` marker, and the file), psx_unit_stretch -> unit_stretch; the Tune slugs render.psx_ot_unit_forward / render.psx_par / render.psx_unit_stretch and the project.godot [shader_globals] keys moved with them. PSX_FOLD_GAIN -> FOLD_GAIN by user ruling: a shader-local `const float = 2.2`, net-neutral, inside a producer whose whole job is a PlayStation reproduction, so the prefix distinguished nothing; the compromise it recorded is now stated in the comment above it, which ADR-0149's rule scores at zero. 🔴 THE HANDOFF'S PROPOSED SHORTCUT WAS REFUSED, MEASURED. It asked whether a CONSUMER of an exempt system's published vocabulary is itself exempt, on the reading that these 20 lines are `Render`'s subject (ADR-0117 row 10). classify() books all four provider files to `schema` and `platform`, which are BUCKETS, not members of SYSTEMS, so the publisher is not `Render` and the premise is false; and because goal #7 scores only systems, a consumer exemption would have made those 20 lines countable NOWHERE -- silencing the one live instrument on dec. 10's unpaid rename. ADR-0145 dec. 4 keeps PLATFORM_EXEMPT a map so no system acquires the exemption silently, and a transitive exemption is that flag in disguise. Witnesses (the guards are textual and a missed `global uniform` reads 0 in silence, ADR-0238): ColorStackGpuParityTest 11/11, DepthModeTest 35/35, PlatformProvidesTest 54/54 over 7 arms, PSXDisplaySingleSourceTest 4/4, TunePsxParTest 5/5, AlignmentPanelTuneFieldTest 14/14, UnitMaterialVariantTest green, `godot --path . --import` clean, and check_par_shaders / check_color_shaders / check_depth_shaders / check_battle_materials / check_feedback_hud / check_addon_portability / check_sprite_stretch_globals / check_addon_install / check_no_psx_brightness_in_fold all rc 0. Side effects, not this row's: exmateria_schema 36 -> 0, exmateria_render 3 -> 0, exmateria_battlefield 118 -> 74, exmateria_platform 68 -> 41. The count is a work list, not a verdict (ADR-0150), and this addon's work list is empty.
4	Sprite Rig	8	per-system + E1	open	ADR-0152 — REGISTER HALF BLOCKED on the epilogue E1 known-drops register, the same blocker that holds `Render`, `Audio` and `Battlefield`, so #8 is blocked on the epilogue rather than on `Sprite Rig`. CODE HALF: this addon has no live PSX compromise left to divorce, and that is worth stating rather than deferring. Its one knob was the `psx_brightness` global, RETIRED in the ADR-0074 fold endgame; the residue is a net-neutral shader-local `const float FOLD_GAIN = 2.2` in crystal/crystal_fold.gdshader (named PSX_FOLD_GAIN until ADR-0240 dec. 4 dropped the prefix, the fact staying in the comment above it), guarded by tools/check_no_psx_brightness_in_fold.py, and that is the same shader-owned-const shape ADR-0152 argues a PSX compromise should NOT take and that `Battlefield`'s visible_angles_cull_mode took at ADR-0190 dec. 1 — two extractions running have declined the policy shape for a good local reason, which is an observation E1 owns rather than this row. The addon's one live faithfulness knob, debug.pose_octant_camera_offset_12bit, IS in ADR-0152's shape (TunePort-bound, code-default home RigDebug.POSE_OCTANT_OFFSET_DEFAULT = 0x400, ADR-0068 R1/R2) but it is a DEBUG slug, not a PSX compromise
4	Sprite Rig	9	per-system	met	ADR-0215 dec. 1 finds the interface is 98 members rather than 18 names, and dec. 3 makes the rig publish as ONE SCENE with src/units/Unit.gd its single host adapter; ADR-0217 dec. 1 finds the kernel published no names at all and builds the facade BEFORE the move, and dec. 6 keeps AnimationOpcodes out of the shared dictionary on the rule that the kernel holds only a vocabulary two systems must AGREE on; ADR-0216 derives the roster and the seek state from ROM data instead of hand-mirroring them; ADR-0218 finds the lattice test seam is a fixture over the PRODUCTION builder, so nothing needed to be faked; ADR-0212 reduces the global class_name surface to one folder-named facade and #746 takes 20 names off it, 2 of them publishing nothing at all. Four instruments were repaired inside the extraction rather than after it: ADR-0220 builds arm 4c, ADR-0222 gives criterion 4 an oracle channel that cannot launder the guard into a tautology, ADR-0223 gives arm 7 a register that rots in two directions and #809 empties it, and ADR-0227 fixes closure.py's facade blindness — which also flipped extraction #3's goal #3 from a score that had never been MEASURED
4	Sprite Rig	10	per-domain	open	ADR-0143 — the root set is docs/ROOT_SET.tsv, and this is the FIRST extracted addon that ships one: addons/exmateria_sprite_rig/viewer/SequenceViewer.tscn is booked set=authoring, status=root, moved inside the addon by ADR-0215 dec. 4 because it exercises the whole rig. So unlike `Render`, `Audio` and `Battlefield`, whose n/a reads `the addon has no authoring surface`, the per-domain escape is closed for this system on BOTH per-domain goals and n/a is not available. It is `open` rather than `met` because the surface is READ-ONLY: the viewer browses sequences, plays them across the three layers and reports the resolved BODY/WEP1/EFF1 slots; it holds no ResourceSaver and writes no artifact. Goal #10 asks for eventual support for AUTHORING content, and a viewer is the read half of it
