adr	dec	status	verified_on	evidence	proposed_guard
0014	2	built	2026-08-28	ScreenSubsystem -> update_layer_gradient; PaletteSubsystem._deliver_output -> update_stack; EffectInstance._process reach-in gone	
0014	3	built	2026-08-28	EffectTimeline.phase1_finished/phase2_started; ParticleSubsystem reads through them	
0016	*	complete	2026-08-28	audit-notes/0016.md	
0016	1	unreviewed	2026-08-28	audit-notes/0016.md	
0016	2	unreviewed	2026-08-28	audit-notes/0016.md	
0016	3	unreviewed	2026-08-28	audit-notes/0016.md	
0016	4	unreviewed	2026-08-28	audit-notes/0016.md	
0016	5	unreviewed	2026-08-28	audit-notes/0016.md	
0016	6	unreviewed	2026-08-28	audit-notes/0016.md	
0016	7	unreviewed	2026-08-28	Decision 7 held in RULE but not in FILENAME: the schema, the check and `_pack_gambits` moved `GPUBatchSimulator.gd` -> `GPUCombatPacker.gd` (the same host move as ADR-0001's generated region), which m	
0016	8	unreviewed	2026-08-28	audit-notes/0016.md	
0016	9	unreviewed	2026-08-28	Decision 9 ('behavior is unchanged') is NOT re-derivable from the current tree — it is a claim about the landing commit, and the audit records that as a limit rather than a finding.	
0018	*	complete	2026-08-28	audit-notes/0018.md	Assert dec. 11's mechanics/policy split — a source guard that CombatHost.gd declares no signal, no `on_*` hook and no `_rlog`, so the base cannot grow into policy.
0018	1	built	2026-08-28	GPUCombatInterpreter.gd:30-38 EventKind — 9 kinds, six of the ADR's original nine by name; CastEnded/ChargeBegan/ChargeEnded never landed and are now stated as rejected	
0018	2	built	2026-08-28	GPUCombatInterpreter.gd:142-147 death precedence; STATE_CHANGED carries cast_began_this_frame; GPUCombatInterpreterTest asserts both with no GPU	
0018	3	built	2026-08-28	interpreter reads only the snapshot dict + immutable ability data; generalised project-wide by ADR-0031	
0018	4	built	2026-08-28	U_CAST_STEP_ID = 85 (combat_common.glslinc:133); _spell_cast_active survives on CombatLoop.gd:195 for the sanctioned animation role only	
0018	5	built	2026-08-28	CombatLoop is a composed Node3D; GPUArena.gd extends CombatHost, not GPUCombatTestBase; 74 test files extend the test base unchanged	
0018	7	built	2026-08-28	GPUMovementInterpreter untouched; CombatLoop composes both interpreters side by side with GPUVisualBridge	
0018	8	built	2026-08-28	EffectManager in src/effects/, ProjectileManager in src/projectiles/, no ReactionManager file and no tests/managers/ dir; routing is inline on CombatLoop	
0018	9	built	2026-08-28	CombatLoop.gd:36-46 — the eight named signals plus action_committed and timed_out	
0018	10	built	2026-08-28	_build_gpu_config lives on GPUCombatTestBase (:335), not CombatLoop	
0018	11	built	2026-08-28	src/gpu/CombatHost.gd; GPUArena.gd:1 and GPUCombatTestBase.gd:1 both `extends CombatHost`. Verified: the extends relationship + the base holds accessors/holders. NOT verified: that the policy split is complete (the file's own claim)	
0022	*	half-landed	2026-08-28	audit-notes/0022.md	see audit-notes/0022.md#harvested-on-mechanizing
0022	1	unreviewed	2026-08-28	The Consequences' predicted uniform names never existed on the unit path: body samplers are type1_tex + type1_palette, portrait's are sprite_texture + sprite_palette (unit_portrait_3d.gdshader:12-13);	
0022	2	unreviewed	2026-08-28	MEASURED: dec. 2 ('BODY layer only;	
0022	3	unreviewed	2026-08-28	VERIFIED GOOD: dec. 3 (no unit shader reuses indexed_color.gdshader; cited only as a convention at :898), dec. 4 (extract_spr.py:453-454 writes the pair, named by extract_all_sprites.py:71-77; index p	
0022	4	unreviewed	2026-08-28	VERIFIED GOOD: dec. 3 (no unit shader reuses indexed_color.gdshader; cited only as a convention at :898), dec. 4 (extract_spr.py:453-454 writes the pair, named by extract_all_sprites.py:71-77; index p	
0022	5	unreviewed	2026-08-28	The pattern also travelled to TRAP1 (effect_particle_stp.gdshaderinc:33, TrapEffect.gd:254), projectiles (Projectile3D.gd:222/:641), range-tile overlays (tile_overlay.gdshaderinc:8/:13) and EVTCHR (ba	
0022	6	unreviewed	2026-08-28	VERIFIED GOOD: dec. 3 (no unit shader reuses indexed_color.gdshader; cited only as a convention at :898), dec. 4 (extract_spr.py:453-454 writes the pair, named by extract_all_sprites.py:71-77; index p	
0022	7	unreviewed	2026-08-28	VERIFIED GOOD: dec. 3 (no unit shader reuses indexed_color.gdshader; cited only as a convention at :898), dec. 4 (extract_spr.py:453-454 writes the pair, named by extract_all_sprites.py:71-77; index p	
0022	8	unreviewed	2026-08-28	audit-notes/0022.md	
0024	*	half-landed	2026-08-28	audit-notes/0024.md	
0024	1	unreviewed	2026-08-28	Dec. 1's `use_back` clause is superseded by ADR-0053: `attack` passes false unconditionally and `resolve_attack` takes it as `_use_back` (unused), the variant being picked per paint in `UnitDisplay._p	
0024	2	unreviewed	2026-08-28	Two decisions are half: `resolve_spell_casting_two_hands` (dec. 2) and `resolve_ability_charging` (dec. 3) were NEVER WRITTEN, and the string ABILITY_CHARGING appears in no file under src/ or tests/ —	
0024	3	unreviewed	2026-08-28	Two decisions are half: `resolve_spell_casting_two_hands` (dec. 2) and `resolve_ability_charging` (dec. 3) were NEVER WRITTEN, and the string ABILITY_CHARGING appears in no file under src/ or tests/ —	
0024	4	unreviewed	2026-08-28	audit-notes/0024.md	
0024	5	unreviewed	2026-08-28	Graded against the code: the shape IS built (Unit owns the map call, `Unit.gd:739/762/797`), and dec. 5 is CLOSED — `start_attack_with_animation` is defined nowhere, and both named CombatLoop sites mi	
0026	*	half-landed	2026-08-28	audit-notes/0026.md	
0026	1	unreviewed	2026-08-28	The assertion is not useless (it still compares the running slot against last_resolution.body_slot, catching a DISPATCH error), but its stated discriminating power is gone; a reader following that rat	
0026	2	unreviewed	2026-08-28	VERIFIED GOOD: dec. 2 exactly (resolve_celebrating:170-174; map.tres Resource_celt1 and Resource_celt3 are both front=82/back=83), dec. 3 (dispatch is ActivityTranslator.translate at CombatLoop.gd:125	
0026	3	unreviewed	2026-08-28	VERIFIED GOOD: dec. 2 exactly (resolve_celebrating:170-174; map.tres Resource_celt1 and Resource_celt3 are both front=82/back=83), dec. 3 (dispatch is ActivityTranslator.translate at CombatLoop.gd:125	
0026	4	unreviewed	2026-08-28	VERIFIED GOOD: dec. 2 exactly (resolve_celebrating:170-174; map.tres Resource_celt1 and Resource_celt3 are both front=82/back=83), dec. 3 (dispatch is ActivityTranslator.translate at CombatLoop.gd:125	
0026	5	unreviewed	2026-08-28	CONSEQUENCE FOR dec. 5: its argument no longer applies to its own assertion. dec. 5 binds on current_animation_front rather than type1_playback.anim_id because the latter 'was correct while the bug wa	
0035	*	half-landed	2026-08-28	decs. 1 and 3-8 built; dec. 2 unresolved. Folded 2026-08-28: four dated blocks (one of them nested and unaddressable by name) became decs. 6, 7 and 8. See audit-notes/0035.md.	Boot-site smoke arm over the seven scenes dec. 5 names, asserting each still reaches register_debug_panel(); plus a persistence round-trip arm over position/size/visibility.
0035	1	built	2026-08-28	DebugOverlay.gd:52 holds _dashboard: Window and project.godot:61 sets window/subwindows/embed_subwindows=false, so the dashboard is a real OS window, not a CanvasLayer over the game.	
0035	2	unresolved	2026-08-28	Masonry packing holds, but DebugDashboard.set_category_collapsed:387 hides a whole cell behind a toggle persisted as UserSettings.debug_window.collapsed_categories. Fifth exception or drift back to problem (1)? #686.	
0035	3	built	2026-08-28	create_collapsible_section (BaseDebugPanel.gd:112) takes _start_open -- literally underscore-prefixed and unread -- across 38 call sites, so the parameter is the no-op the decision promised.	
0035	4	built	2026-08-28	Restated to the shipped rule: position, size and visibility persist; DEFAULT_DEBUG_WINDOW makes the FIRST-RUN default closed. The always-open-at-launch option stays rejected.	
0035	5	built	2026-08-28	All five API methods present on DebugOverlay, and all seven boot sites still call register_debug_panel(). MapComposer.gd moved under addons/exmateria_battlefield/assembly/, which costs the rule nothing -- it names files, not paths.	
0035	6	built	2026-08-28	add_fold_section (BaseDebugPanel.gd:132) exists and has exactly one consumer, DetailScreenDebugPanel.gd, so the scoped exception held its scope.	
0035	7	built	2026-08-28	DebugDashboard.add_panel mounts each registered panel under its own titled fold inside the category cell.	
0035	8	built	2026-08-28	DebugDashboard.gd:172 lists pages ['Panels','Registry','Studio','UI3']; UI3RegistryView.gd is the UI3 page and UI3RegistryPageTest.gd covers it.	
0036	*	half-landed	2026-08-28	audit-notes/0036.md	
0036	1	unreviewed	2026-08-28	HOLDS: dec. 1, 3, 6, 8 — dec. 6 (Option A single-source) is the only one with a test, PSXDisplaySingleSourceTest.gd:32, and shader_global_default() at PSXDisplay.gd:105 is exactly as written.	
0036	2	unreviewed	2026-08-28	MOVED: dec. 2's rule holds but its SPELLING is superseded — ADR-0060 put both patterns behind psx_par_full()/psx_par_anchor() in addons/exmateria_platform/pixel_aspect/psx_par.gdshaderinc, enforced by	
0036	3	unreviewed	2026-08-28	Guard feasibility: dec. 3 (PAR-blindness of CUSTOM0/object-space VERTEX) is mechanizable and unguarded — it survives only as prose in two shader comments; dec. 7's get_display_width clause is mechaniz	Decision 3 is mechanizable and unguarded
0036	4	unreviewed	2026-08-28	FALSE: dec. 4's default. project.godot [shader_globals] psx_par reads 1.0, not 1.25 — landed at 1.25 in 311dab22a (2026-06-10, this ADR's accept date) and moved to 1.0 in b7b336491 (2026-07-06 'alignm	
0036	5	unreviewed	2026-08-28	audit-notes/0036.md	
0036	6	unreviewed	2026-08-28	HOLDS: dec. 1, 3, 6, 8 — dec. 6 (Option A single-source) is the only one with a test, PSXDisplaySingleSourceTest.gd:32, and shader_global_default() at PSXDisplay.gd:105 is exactly as written.	
0036	7	unreviewed	2026-08-28	FALSE: dec. 4's default. project.godot [shader_globals] psx_par reads 1.0, not 1.25 — landed at 1.25 in 311dab22a (2026-06-10, this ADR's accept date) and moved to 1.0 in b7b336491 (2026-07-06 'alignm	
0036	8	unreviewed	2026-08-28	FALSE: dec. 4's default. project.godot [shader_globals] psx_par reads 1.0, not 1.25 — landed at 1.25 in 311dab22a (2026-06-10, this ADR's accept date) and moved to 1.0 in b7b336491 (2026-07-06 'alignm	
0037	*	complete	2026-08-28	decs. 1-10 built. Folded 2026-08-28: three dated blocks became decs. 7-10; the two Addenda anchored as the wildcard `*` and are gone, closing the 6 uncheckable citations the previous audit deferred. See audit-notes/0037.md.	Predicate table over CombatLoop._visuals_should_run: the four axes (combat_active, deploy_active, victory_achieved, cinematic-active) crossed against member-under-caster. Nothing covers the group-wide refresh, the victory override or the deploy input today.
0037	1	built	2026-08-28	No `get_tree().paused` write exists on the combat path; Unit.gd:410 joins group `units` only. ADR-0137's formation screen is the 'future UI overlay' the decision reserved for, and it pauses the battle while keeping the camera alive.	
0037	2	built	2026-08-28	No autoload, no second copy: every predicate input is a CombatLoop field (combat_active :125, deploy_active :138, victory_achieved :144) or the owning manager's own read (cinematic_manager.is_active/active_caster_idx). Restated from 'the field' to 'no mirror'.	
0037	3	built	2026-08-28	_refresh_combat_visuals_freeze (CombatLoop.gd:1106) is the sole writer; it walks get_nodes_in_group('combat_visuals') and is called from the three setters (:133, :143, :149) and both cinematic handlers (:1078, :1094).	
0037	4	built	2026-08-28	Member list corrected 4 -> 8 production + 1 test double: the four originals plus Projectile3D (ADR-0038), DamageNumber3D + StatusBubble3D (ADR-0063), CrystalSprite3D. The one-line opt-in held for every one.	
0037	5	built	2026-08-28	Rule holds, machinery restated to ADR-0083: `tick_based` is nowhere in GPUArena.gd and the two react playbacks live only in UnitDisplay. AnimationClock.owner is the field, tick_based a derived predicate, and Unit._process's delta pump no-ops under a host.	
0037	6	built	2026-08-28	add_to_group('combat_visuals') in _ready, at all 8 production sites -- necessary, and by dec. 10 not sufficient.	
0037	7	built	2026-08-28	Promoted from Addendum #1 + #2. Carve-out corrected: _visuals_should_run exempts ANY member descending from units[active_caster_idx()], not just Charge VFX, and false if that index does not resolve. The cinematic EffectInstance opts out via is_cinematic.	
0037	8	built	2026-08-28	Promoted from Addendum #2, reversing the original Consequences. `if victory_achieved: return true` is the first line of _visuals_should_run; ADR-0038 depends on it for projectiles mid-flight at the moment of victory.	
0037	9	built	2026-08-28	`if not (combat_active or deploy_active): return false`, with deploy_active's own setter refresh. Recorded here because ADR-0042 -- which the code comment credits -- contains no occurrence of combat_visuals, deploy_active or 'freeze'.	
0037	10	built	2026-08-28	Promoted from Amendment 3's finding. SceneTree.node_added -> _on_scene_node_added (:1144) -> deferred _apply_spawn_freeze (:1153), gated on cinematic_manager.is_active(). Guarded by CombatVisualsSpawnFreezeTest's three arms.	
0040	*	half-landed	2026-08-28	audit-notes/0040.md	The named-API arm | The named-file arm
0040	1	unreviewed	2026-08-28	Dec. 2/8 hold outright; dec. 3 holds with the seam moved to a 4-arg addon include; dec. 1's FIVE MultiMeshInstance3D per effect collapsed to ONE under #227 (the four RM_MODE0..3 carriers retired, the 	
0040	2	unreviewed	2026-08-28	Dec. 2/8 hold outright; dec. 3 holds with the seam moved to a 4-arg addon include; dec. 1's FIVE MultiMeshInstance3D per effect collapsed to ONE under #227 (the four RM_MODE0..3 carriers retired, the 	
0040	3	unreviewed	2026-08-28	Dec. 2/8 hold outright; dec. 3 holds with the seam moved to a 4-arg addon include; dec. 1's FIVE MultiMeshInstance3D per effect collapsed to ONE under #227 (the four RM_MODE0..3 carriers retired, the 	
0040	4	unreviewed	2026-08-28	Dec. 2/8 hold outright; dec. 3 holds with the seam moved to a 4-arg addon include; dec. 1's FIVE MultiMeshInstance3D per effect collapsed to ONE under #227 (the four RM_MODE0..3 carriers retired, the 	
0040	5	unreviewed	2026-08-28	Dec. 2/8 hold outright; dec. 3 holds with the seam moved to a 4-arg addon include; dec. 1's FIVE MultiMeshInstance3D per effect collapsed to ONE under #227 (the four RM_MODE0..3 carriers retired, the 	
0040	6	unreviewed	2026-08-28	Dec. 2/8 hold outright; dec. 3 holds with the seam moved to a 4-arg addon include; dec. 1's FIVE MultiMeshInstance3D per effect collapsed to ONE under #227 (the four RM_MODE0..3 carriers retired, the 	
0040	7	unreviewed	2026-08-28	Dec. 2/8 hold outright; dec. 3 holds with the seam moved to a 4-arg addon include; dec. 1's FIVE MultiMeshInstance3D per effect collapsed to ONE under #227 (the four RM_MODE0..3 carriers retired, the 	
0040	8	unreviewed	2026-08-28	audit-notes/0040.md	
0041	*	complete	2026-08-28	audit-notes/0041.md	Assert the dec. 5 negative: no `get_node`/poll of the cursor from `PlayerCamera` (a source guard over camera/*.gd).
0041	1	built	2026-08-28	CursorController._on_cursor_moved -> PlayerCamera.track_cursor -> _deadzone_focus -> follow_cursor; release lerps to _follow_target	
0041	2	built	2026-08-28	PlayerCamera.gd _process return ease: _follow_target if _follow_has_target else _saved_global_pos	
0041	3	built	2026-08-28	request_takeover saves _saved_x_rot/_saved_y_rot/_saved_camera_size; release_takeover restores them	
0041	4	built	2026-08-28	func request_takeover(_driver: Object); CinematicManager extends RefCounted, EffectViewerScene extends Node3D	
0041	5	built	2026-08-28	no cursor lookup in PlayerCamera.gd; _follow_target only written by follow_cursor/track_cursor	
0044	*	half-landed	2026-08-28	audit-notes/0044.md	The roster arm (blocked on the recorded question) | The cursor-coherence arm (not blocked)
0044	1	unreviewed	2026-08-28	HOLDS: dec. 1, 2 (globals), 3, 5 — psx_par_anchor() at psx_par.gdshaderinc:66-68 is byte-for-byte the Decision's code block with `stretch` in the <taxonomy>_stretch slot; project.godot declares all th	
0044	2	unreviewed	2026-08-28	AMBIGUOUS, recorded not resolved: is dec. 2's 'everything else: particles, projectiles, shadow blobs, callback meshes' a ROSTER (then projectile_vertex_color.gdshader:30 and trap_charge_line.gdshader:	
0044	3	unreviewed	2026-08-28	audit-notes/0044.md	
0044	4	unreviewed	2026-08-28	HALF: dec. 4 — the three live_*_stretch channels + *_changed signals are at PSXDisplay.gd:198/219/240 and :286-288, but DisplayDebugPanel is DELETED (ADR-0151, bb5f7fefa); the scrubs are generated Tun	The dec. 4 scrub arm
0044	5	unreviewed	2026-08-28	audit-notes/0044.md	
0046	*	half-landed	2026-08-28	audit-notes/0046.md	
0046	1	unreviewed	2026-08-28	Amendment 1 records the two facts that MOVED: the glove half Status calls deferred is BUILT (`GloveCursorBob` + eight consumers, bob axis X, `FormationStartMenuTest` as oracle), and extraction #3 pass	
0046	2	unreviewed	2026-08-28	audit-notes/0046.md	
0046	3	unreviewed	2026-08-28	audit-notes/0046.md	
0046	4	unreviewed	2026-08-28	Graded against the code: all five hold on the tile cursor and TileCursorBobTest asserts the 52-frame cycle against the shipped artifact — but decisions 4 and 5 are provisional BY THEIR OWN TEXT (the N	
0046	5	unreviewed	2026-08-28	audit-notes/0046.md	
0047	*	complete	2026-08-28	audit-notes/0047.md	Guard that `DEFAULT_COOLDOWN_TICKS` and the B8 scenarios' `max_ticks` budgets move together — the 60->300 raise needed both, and nothing couples them.
0047	1	built	2026-08-28	cooldown_pre_validate in stage_compute.glsl:438 reads get_ability_cooldown_ticks; no is_cooldown_class anywhere	
0047	2	built	2026-08-28	tools/parse_abilities.py:176 DEFAULT_COOLDOWN_TICKS = 300 (raised from 60, #93); assets/abilities/effects.json carries 300	
0047	3	built	2026-08-28	stage_compute.glsl:566 cooldown veto beside spell_pre_validate; docs/gambit-rules.md:41 rule B8	
0047	4	built	2026-08-28	binding-9 SSBO, MAX_COOLDOWN_ABILITIES=128 (combat_common.glslinc:517); NOT the unit struct (#85)	
0047	5	built	2026-08-28	stage_compute.glsl:585-594 set_cooldown_ready_at(tick + cooldown_ticks) for SPELL/ABILITY/ITEM at commit	
0047	6	built	2026-08-28	hand-authored constant in tools/parse_abilities.py; AbilityView.gd:89 cooldown_ticks getter; GPUAbilityLoader AB_COOLDOWN_TICKS	
0048	*	half-landed	2026-08-28	audit-notes/0048.md	
0048	1	unreviewed	2026-08-28	Five of six hold as written. dec. 1 holds (`GambitEncoder._safety_net_gambit`, :120) with one naming drift — the ADR names `TargetSelector.nearest_enemy()`, which does NOT exist; the code uses `Target	
0048	2	unreviewed	2026-08-28	THE ONE THAT DOES NOT HOLD is dec. 2's slot count: `GambitList.VISIBLE_SLOTS = 4` and `ensure_fixed_size()` truncates DESTRUCTIVELY (pop_back) to 4 on every roster entry point (Character.gd:419 persis	
0048	3	unreviewed	2026-08-28	Five of six hold as written. dec. 1 holds (`GambitEncoder._safety_net_gambit`, :120) with one naming drift — the ADR names `TargetSelector.nearest_enemy()`, which does NOT exist; the code uses `Target	
0048	4	unreviewed	2026-08-28	Five of six hold as written. dec. 1 holds (`GambitEncoder._safety_net_gambit`, :120) with one naming drift — the ADR names `TargetSelector.nearest_enemy()`, which does NOT exist; the code uses `Target	
0048	5	unreviewed	2026-08-28	Five of six hold as written. dec. 1 holds (`GambitEncoder._safety_net_gambit`, :120) with one naming drift — the ADR names `TargetSelector.nearest_enemy()`, which does NOT exist; the code uses `Target	
0048	6	unreviewed	2026-08-28	Five of six hold as written. dec. 1 holds (`GambitEncoder._safety_net_gambit`, :120) with one naming drift — the ADR names `TargetSelector.nearest_enemy()`, which does NOT exist; the code uses `Target	
0051	*	half-landed	2026-08-28	audit-notes/0051.md	Every retired env var names a live writer: assert each knob this ADR's history says moved to a panel has >=1 assignment outside its declaration. Also: no docs/**.md outside a fenced block spells MENU=/SHOT=/FIXTURE=/ZOOM= as a bare env assignment.
0051	1	violated	2026-08-28	67 register_panel calls, but camera_disabled/camera_backrotate_invert/camera_flip_body_depth on ScenarioCameraDirector have readers and NO writer since ScenarioCameraDebugPanel was deleted at 137b94b40 (2026-07-06) — issue #677, both readings recorded there	
0051	2	built	2026-08-28	tools/check_no_env_vars.py green at hard zero over walk_roots()+tests/; wired tests/run_all_tests.sh:424; the env-var-exempt hatch has ZERO users tree-wide	
0051	3	built	2026-08-28	WorldMapScene.capture_to; CombatUITestScene.capture_dialogue_box_to driven by a CombatUIDebugPanel button	
0051	4	built	2026-08-28	ScenarioVM.play_through_skip_unknown is the model; ScenarioVMDebugPanel is the view and publishes a Tune slug rather than holding state; WorldMapDebugPanelTest asserts the split	
0051	5	built	2026-08-28	21 files take rig params via OS.get_cmdline_user_args() --key=value, incl. tools/capture_startmenu.gd and src/scenes/UnitInfoWindowViewer.gd; WorldMapScene fixture/zoom/capture_path/boot_menu	
0052	*	complete	2026-08-28	audit-notes/0052.md	`_placement_flipped` must be true for every committed chunk, and `_map_size_z` must match its map's terrain.json
0052	1	built	2026-08-28	coordinates.convert_position + parsers/mesh.py vertex read; net (x,-y,size_z-z) is a COMPOSITION across two files, neither complete alone	Feed convert_position/convert_normal a unit basis; assert net (x,-y,size_z-z) and linear part (x,-y,-z)
0052	2	built	2026-08-28	exporters/terrain.py renumber_tile_z + the reversed row iteration; terrain.json is written our-coord row-major	
0052	3	built	2026-08-28	tools/parse_entd.py apply_chirality_fix_to_slot renumbers ONLY y; unit_id 0xFF slots untouched	
0052	4	stale	2026-08-28	Retired, never built: parse_scenarios.py is not the chunk producer and flip_camera_y_q88 is removed. Number left as a gap; dec. 13 is the answer.	
0052	5	built	2026-08-28	extract_event._flip_placement_rows over _PLACEMENT_DEPTH_OPCODES={Warp Unit,Walk To}; guard ScenarioSpriteMoveTest RUNS since 2026-09-01 (#752 deleted the facing fallback that quarantined it; the red was never this ADR's depth mirror)	Assert no committed scenario_*_chunk.json carries _placement_flipped:false
0052	6	built	2026-08-28	parsers/mesh.py emits (-nx,-ny,nz), coordinates.convert_normal negates X and Z; net (nx,-ny,-nz) = the linear part only	Same unit-basis arm as dec. 1
0052	7	built	2026-08-28	exporters/geometry.py reverses BOTH quad triangles; diagonal v1-v2 preserved	
0052	8	built	2026-08-28	PSXCameraConvert.psx_angles_to_godot_rotation returns deg_to_rad(yaw_deg); the -360.0 full-turn no-op was dropped for the identity	
0052	9	built	2026-08-28	No camera_position_offset on any object in src/; four tests assert its absence (ScenarioChapelChainTrace/ChainSpline/JerkProbe, ScenarioCameraFloorAimCalib)	
0052	10	built	2026-08-28	parse_entd docstring + PsxNum.warp_facing_to_12bit (Facing<<10, ROM 0x80087c1c); PsxNumTest pins all four values; ReferenceRenderDirectionTest and ScenarioCastInitialFacingTest exercise it	
0052	11	built	2026-08-28	ScenarioDecode.sprite_move_offset negates +Z and +Y, mirrors neither; Sprite Move is absent from _PLACEMENT_DEPTH_OPCODES	
0052	12	built	2026-08-28	scenario_*_chunk.raw.json sidecars exist beside the consumed chunks (export_all_scenario_chunks.py); ScenarioVM names live PSX RAM as the diff oracle	
0052	13	built	2026-08-28	ScenarioCameraDirector uses PsxNum.flip_depth_continuous on the body depth, falling back to raw z when map_size_z is unset; PsxNumTest pins the continuous form	Assert camera_flip_body_depth is true AND has a writer — it has none today (#677, #670)
0052	14	built	2026-08-28	parsers/mesh.py emits the +0xB0 table raw (VIS_CULL_MASK 0x3FFC unremapped); psx_camera_angle_offset exists nowhere	
0053	*	half-landed	2026-08-28	audit-notes/0053.md	The naming Consequence is mechanizable and would land RED
0053	1	unreviewed	2026-08-28	Every rule holds; three moved. dec. 1: the field is on UnitDisplay.gd:67, NOT Unit — Unit.gd:345 is a read-only forwarding property, the write half retired under #152 so there is no setter; play_body(	Decision 1's funnel is mechanizable and is the highest-value arm
0053	2	unreviewed	2026-08-28	A STRENGTHENING (a driver can no longer assign and forget the clock), but 'one field' is one and a half: play_body also repopulates current_animation_front/index (:215-216), still read at Unit.gd:1066	
0053	3	unreviewed	2026-08-28	A STRENGTHENING (a driver can no longer assign and forget the clock), but 'one field' is one and a half: play_body also repopulates current_animation_front/index (:215-216), still read at Unit.gd:1066	
0053	4	unreviewed	2026-08-28	A STRENGTHENING (a driver can no longer assign and forget the clock), but 'one field' is one and a half: play_body also repopulates current_animation_front/index (:215-216), still read at Unit.gd:1066	Decision 4 is trivially mechanizable
0053	5	unreviewed	2026-08-28	A STRENGTHENING (a driver can no longer assign and forget the clock), but 'one field' is one and a half: play_body also repopulates current_animation_front/index (:215-216), still read at Unit.gd:1066	
0053	6	unreviewed	2026-08-28	A STRENGTHENING (a driver can no longer assign and forget the clock), but 'one field' is one and a half: play_body also repopulates current_animation_front/index (:215-216), still read at Unit.gd:1066	
0055	*	half-landed	2026-08-28	audit-notes/0055.md	
0055	1	unreviewed	2026-08-28	MEASURED: dec. 1 exact -- ScenarioMotion carries those six fields and four methods and nothing else but frac/curve. dec. 2 rule holds but the REGISTRY MOVED: 'VM-owned motions:{uid -> ScenarioMotion}'	Dec. 1 as a contract, across implementations
